48,3.640593,3.655041,3.66957,3.687201,3.706891,3.731721,3.75849,3.792503,3.824727,3.848101,3.871236,3.892086,3.911926,3.933806,3.955684,3.979192,4.005867,3.649605,3.664024,3.680761,3.699311,3.719543,3.741732,3.766824,3.791756,3.817511,3.843243,3.86688,3.888293,3.909103,3.929027,3.950175,3.972659,3.997304
50,3.640388,3.65496,3.669492,3.686998,3.706687,3.731598,3.758284,3.792299,3.824688,3.848102,3.871114,3.891925,3.911924,3.933726,3.95556,3.979191,4.005745,3.648995,3.663452,3.680192,3.698904,3.719092,3.741326,3.766336,3.791432,3.817102,3.842835,3.866513,3.887926,3.908737,3.92862,3.949604,3.972049,3.996734
52,3.640348,3.654837,3.669288,3.686915,3.706567,3.731396,3.758203,3.792139,3.824566,3.84798,3.870949,3.891925,3.911719,3.933644,3.955358,3.978986,4.005664,3.648585,3.663044,3.679746,3.698293,3.718682,3.74092,3.76597,3.791025,3.816818,3.842633,3.866267,3.887682,3.908452,3.928215,3.949196,3.9716,3.996286
54,3.640182,3.654797,3.669288,3.686796,3.706362,3.731192,3.758078,3.792058,3.824482,3.847899,3.870909,3.891721,3.911716,3.933522,3.955275,3.978986,4.005458,3.648177,3.662434,3.679136,3.697683,3.718152,3.740513,3.765563,3.79074,3.81649,3.842227,3.865943,3.887275,3.908046,3.927812,3.948586,3.97103,3.995879
56,3.640181,3.654633,3.669083,3.686594,3.706319,3.73119,3.757874,3.791897,3.824276,3.847739,3.870911,3.891721,3.91151,3.933438,3.955151,3.978781,4.00546,3.64773,3.662027,3.678688,3.697273,3.717662,3.739945,3.765156,3.790414,3.816125,3.842021,3.865657,3.886908,3.907635,3.927405,3.948176,3.970624,3.995265
58,3.639977,3.654428,3.668881,3.686594,3.706158,3.730987,3.757752,3.791774,3.824275,3.8477,3.870707,3.891517,3.911508,3.933315,3.955028,3.978781,4.005258,3.647364,3.661497,3.67812,3.696785,3.717254,3.739619,3.764952,3.790005,3.815879,3.841819,3.865457,3.886663,3.90739,3.927078,3.947771,3.970215,3.994858
60,3.639977,3.654426,3.668883,3.68639,3.705996,3.730784,3.757672,3.79169,3.824235,3.847537,3.870706,3.891516,3.911303,3.933313,3.954944,3.978578,4.005262,3.646957,3.661049,3.677631,3.696256,3.716844,3.73917,3.764545,3.789803,3.815676,3.84145,3.865048,3.886338,3.907021,3.926795,3.947406,3.969808,3.994372
62,3.639772,3.654222,3.668679,3.686346,3.705954,3.730786,3.75747,3.79169,3.824072,3.847497,3.870545,3.891473,3.911304,3.933111,3.954861,3.978577,4.005098,3.646549,3.660601,3.677101,3.695847,3.716396,3.738885,3.76426,3.789517,3.815391,3.841205,3.864848,3.88605,3.906696,3.926388,3.947159,3.969401,3.993843
64,3.63977,3.654223,3.668559,3.686187,3.705751,3.730582,3.757391,3.791484,3.824071,3.847335,3.870504,3.891349,3.911222,3.933067,3.954738,3.978374,4.005056,3.646182,3.660233,3.676695,3.695318,3.716028,3.738478,3.763933,3.78919,3.815064,3.840958,3.864645,3.885843,3.906409,3.925979,3.94675,3.968991,3.993516
66,3.639606,3.654101,3.668477,3.685985,3.705669,3.730377,3.75727,3.791443,3.823869,3.847336,3.870501,3.891308,3.911099,3.932906,3.954737,3.978371,4.00485,3.645898,3.659989,3.676288,3.69495,3.715581,3.738072,3.763526,3.788904,3.81486,3.840672,3.864359,3.885475,3.906045,3.925733,3.946343,3.968583,3.993229
