,kernel,C,gamma,epsilon,Train MAPE,Val MAPE,Test MAPE,Next M MAPE,Next D MAPE,Next H MAPE
40,linear,10,0.1,0.1,0.868856635,0.931936523,0.903925717,1.000920043,0.834050272,0.876806834
43,linear,10,scale,0.1,0.868856635,0.931936523,0.903925717,1.000920043,0.834050272,0.876806834
46,linear,100,0.01,0.1,0.86879818,0.933182837,0.903797522,1.000266361,0.834060028,0.877066177
49,linear,100,0.1,0.1,0.86879818,0.933182837,0.903797522,1.000266361,0.834060028,0.877066177
52,linear,100,scale,0.1,0.86879818,0.933182837,0.903797522,1.000266361,0.834060028,0.877066177
27,linear,5,0.01,0.05,0.866923074,0.934731063,0.908786264,1.006758708,0.836887226,0.882712859
30,linear,5,0.1,0.05,0.866923074,0.934731063,0.908786264,1.006758708,0.836887226,0.882712859
33,linear,5,scale,0.05,0.866923074,0.934731063,0.908786264,1.006758708,0.836887226,0.882712859
36,linear,10,0.01,0.05,0.866927422,0.934906027,0.908723676,1.006597748,0.83707769,0.882495591
39,linear,10,0.1,0.05,0.866927422,0.934906027,0.908723676,1.006597748,0.83707769,0.882495591
42,linear,10,scale,0.05,0.866927422,0.934906027,0.908723676,1.006597748,0.83707769,0.882495591
45,linear,100,0.01,0.05,0.866911767,0.935620934,0.908889155,1.006938904,0.837467424,0.882261137
48,linear,100,0.1,0.05,0.866911767,0.935620934,0.908889155,1.006938904,0.837467424,0.882261137
51,linear,100,scale,0.05,0.866911767,0.935620934,0.908889155,1.006938904,0.837467424,0.882261137
18,linear,1,0.01,0.05,0.86752067,0.935773099,0.905265842,1.002338182,0.842496964,0.87096238
21,linear,1,0.1,0.05,0.86752067,0.935773099,0.905265842,1.002338182,0.842496964,0.87096238
24,linear,1,scale,0.05,0.86752067,0.935773099,0.905265842,1.002338182,0.842496964,0.87096238
0,linear,0.1,0.01,0.05,0.870005835,0.936550438,0.901581631,0.988119175,0.850484886,0.866140832
3,linear,0.1,0.1,0.05,0.870005835,0.936550438,0.901581631,0.988119175,0.850484886,0.866140832
6,linear,0.1,scale,0.05,0.870005835,0.936550438,0.901581631,0.988119175,0.850484886,0.866140832
9,linear,0.5,0.01,0.05,0.867582063,0.938334411,0.903674544,0.999952076,0.843605286,0.86746627
12,linear,0.5,0.1,0.05,0.867582063,0.938334411,0.903674544,0.999952076,0.843605286,0.86746627
15,linear,0.5,scale,0.05,0.867582063,0.938334411,0.903674544,0.999952076,0.843605286,0.86746627
58,rbf,0.1,0.1,0.1,0.901261708,0.972829657,0.915215859,0.956769835,0.890497536,0.898380207
59,rbf,0.1,0.1,0.2,0.919238867,0.973227973,0.92290945,0.966096917,0.905633776,0.896997657
57,rbf,0.1,0.1,0.05,0.898709895,0.973943673,0.91944366,0.962151766,0.896144041,0.900035173
106,rbf,100,scale,0.1,0.461322076,0.97730629,0.960489486,1.145758129,0.897678275,0.838032055
61,rbf,0.1,scale,0.1,0.895649555,0.987085525,0.927916495,1.004495159,0.885880412,0.893373916
60,rbf,0.1,scale,0.05,0.892849463,0.988351681,0.930328657,1.012635172,0.883288191,0.895062607
107,rbf,100,scale,0.2,0.530425968,0.997531861,0.952799726,1.152340698,0.884104768,0.821953712
62,rbf,0.1,scale,0.2,0.916923804,0.997670566,0.938707007,1.007452694,0.908853508,0.89981482
105,rbf,100,scale,0.05,0.426753603,0.998388011,0.977471537,1.173656516,0.902818432,0.855939663
55,rbf,0.1,0.01,0.1,1.15936352,1.161114784,1.122570146,1.171604223,1.070419216,1.125687001
54,rbf,0.1,0.01,0.05,1.156294041,1.1619023,1.122340941,1.171506851,1.071245127,1.124270844
56,rbf,0.1,0.01,0.2,1.162236944,1.163845148,1.123485826,1.179093714,1.075454184,1.115909581
